epoch,training accuracy,training loss,training error,validation accuracy,validation loss,validation error,learning rate,time,test accuracy,test loss,test error
45,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
46,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
47,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
48,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
49,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
50,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,0.0000,0.0000,0.0000
51,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
52,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
53,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
54,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
55,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
56,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
57,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
58,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
59,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
60,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,0.0000,0.0000,0.0000
61,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
62,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
63,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
64,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
65,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
66,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
67,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
68,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
69,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
70,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,0.0000,0.0000,0.0000
71,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
72,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
73,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
74,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
75,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
76,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
77,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
78,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
79,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
80,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,0.0000,0.0000,0.0000
81,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
82,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
83,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
84,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
85,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
87,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
88,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
89,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
90,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,0.0000,0.0000,0.0000
91,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
92,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
93,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
94,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
95,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
96,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
97,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
98,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
99,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,0.0000,0.0000,0.0000
101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
102,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
106,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,0.0000,0.0000,0.0000
111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
116,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
119,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,0.0000,0.0000,0.0000
121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
122,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,0.0000,0.0000,0.0000
131,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
134,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
135,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,0.0000,0.0000,0.0000
141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
145,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
147,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
148,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,0.0000,0.0000,0.0000
151,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,0,,,
155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
160,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
162,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
163,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
164,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
165,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
166,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
177,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
181,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
189,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
191,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
192,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
193,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
196,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
212,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
215,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
216,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
217,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
220,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
227,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
228,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
229,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
235,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
242,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
248,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
253,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
258,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
273,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
274,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
276,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
278,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
281,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
282,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
284,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
285,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
287,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
288,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
289,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
291,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
298,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
308,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,0.0000,0.0000,0.0000
311,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
313,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010000,1,,,
